"HRHHID","HRHHID2","OCCURNUM","YYYYMM","PRDTIND1","PTERNHLY","GESTCEN","GTCBSA","PRTAGE","PRFTLF","PWCMPWGT","PRMLR"
"108",0,0,0,201204,46,-0.01,22,35620,54,2,3025.9103,1
"109",0,0,0,201204,46,-0.01,22,35620,25,1,3535.6409,1
"110",0,0,0,201204,46,-0.01,22,35620,46,2,3337.0774,1
"111",0,0,0,201204,46,-0.01,22,35620,26,2,4611.0094,1
"112",0,0,0,201204,46,-0.01,22,35620,31,1,3755.9082,1
"113",0,0,0,201204,46,-0.01,21,13780,19,2,3015.1015,1
"114",0,0,0,201204,46,-0.01,21,0,20,2,3586.0738,1
"115",0,0,0,201204,46,-0.01,21,15380,21,1,3389.5805,1
"116",0,0,0,201204,46,7.85,21,15380,62,2,3206.1577,1
"117",0,0,0,201204,46,14.96,21,35620,29,1,4940.3693,1
"118",0,0,0,201204,46,8.4,21,35620,31,1,5456.9051,1
"119",0,0,0,201204,46,-0.01,21,35620,48,1,3539.4991,1
"120",0,0,0,201204,46,-0.01,21,35620,30,1,2826.9998,1
"121",0,0,0,201204,46,-0.01,21,35620,68,1,3599.2507,1
"122",0,0,0,201204,46,-0.01,21,40380,20,2,4782.5228,1
"123",0,0,0,201204,46,-0.01,21,40380,56,2,2888.3444,1
"124",0,0,0,201204,46,-0.01,21,35620,18,2,3146.63,1
"125",0,0,0,201204,46,-0.01,21,35620,28,2,2986.7758,1
"126",0,0,0,201204,46,7.25,21,35620,22,2,4103.0541,1
"127",0,0,0,201204,46,-0.01,21,35620,36,1,3569.8507,1
"128",0,0,0,201204,46,-0.01,21,35620,28,1,3742.9237,1
"129",0,0,0,201204,46,-0.01,21,35620,66,1,2802.8212,1
"130",0,0,0,201204,46,8.5,21,40380,19,2,3142.3363,1
"131",0,0,0,201204,46,-0.01,21,35620,56,1,2744.5904,1
"132",0,0,0,201204,46,-0.01,21,35620,25,1,4066.5484,1
"133",0,0,0,201204,46,-0.01,21,35620,36,1,3237.1602,1
"134",0,0,0,201204,46,-0.01,21,35620,64,1,3551.7117,1
"135",0,0,0,201204,46,-0.01,21,35620,21,2,3994.7979,1
"136",0,0,0,201204,46,-0.01,21,35620,47,1,3444.4453,1
"137",0,0,0,201204,46,-0.01,21,35620,60,1,3032.2381,1
"138",0,0,0,201204,46,-0.01,21,28740,68,1,3338.8531,1
"139",0,0,0,201204,46,-0.01,23,25420,31,2,3260.0249,1
"140",0,0,0,201204,46,8.25,23,25420,17,2,3475.3223,1
"141",0,0,0,201204,46,7.5,23,25420,15,1,0,1
"142",0,0,0,201204,46,-0.01,23,0,29,1,3010.7116,2
"143",0,0,0,201204,46,-0.01,23,29540,19,1,3301.0737,1
"144",0,0,0,201204,46,-0.01,23,42540,45,2,3167.8533,1
"145",0,0,0,201204,46,-0.01,23,42540,23,1,4094.2108,1
"146",0,0,0,201204,46,-0.01,23,37980,35,2,3116.3296,1
"147",0,0,0,201204,46,3.25,23,37980,36,2,2809.2155,1
"148",0,0,0,201204,46,2.87,23,10900,20,2,5969.3044,1
"149",0,0,0,201204,46,-0.01,23,37980,48,1,3175.8491,1
"150",0,0,0,201204,46,12,23,37980,25,1,3231.8815,1
"151",0,0,0,201204,46,-0.01,23,49620,24,2,4020.852,1
"152",0,0,0,201204,46,-0.01,23,49620,38,2,3149.903,1
"153",0,0,0,201204,46,-0.01,23,49620,38,1,3366.8926,1
"154",0,0,0,201204,46,11,58,12060,31,1,3390.8775,1
"155",0,0,0,201204,46,-0.01,22,35620,20,2,3837.4725,2
"156",0,0,0,201204,46,-0.01,22,45940,25,1,2822.7743,2
"157",0,0,0,201204,46,-0.01,22,35620,29,1,2888.8637,1
"158",0,0,0,201204,46,7,23,38300,18,2,3402.1505,1
"159",0,0,0,201204,46,-0.01,23,38300,28,2,3833.8513,1
"160",0,0,0,201204,46,12,23,38300,46,2,3122.0912,1
"161",0,0,0,201204,46,7.7,23,0,64,1,2600.1332,1
"162",0,0,0,201204,46,-0.01,23,25420,17,2,3510.3949,1
"163",0,0,0,201204,46,-0.01,23,0,32,2,3253.7304,1
"164",0,0,0,201204,46,-0.01,58,42340,17,2,3114.013,1
"165",0,0,0,201204,46,-0.01,58,12060,20,1,3473.2746,1
"166",0,0,0,201204,46,-0.01,58,10500,49,1,3257.4305,2
"167",0,0,0,201204,46,-0.01,58,0,17,2,4155.3187,1
"168",0,0,0,201204,46,-0.01,58,47580,26,1,2994.3147,2
"169",0,0,0,201204,46,8,58,16860,28,1,3203.4861,1
"170",0,0,0,201204,46,7.5,58,0,24,1,3921.2238,1
"171",0,0,0,201204,46,-0.01,22,35620,45,1,2216.8222,1
"172",0,0,0,201204,46,-0.01,22,35620,49,1,2766.1407,1
"173",0,0,0,201204,46,-0.01,22,35620,17,2,3423.5354,1
"174",0,0,0,201204,46,-0.01,22,35620,18,2,2678.5855,1
"175",0,0,0,201204,46,-0.01,22,35620,31,1,3117.0627,2
"176",0,0,0,201204,46,-0.01,21,10580,46,1,3260.4128,1
"177",0,0,0,201204,46,-0.01,21,35620,38,1,2575.2799,2
"178",0,0,0,201204,46,-0.01,21,35620,21,2,4839.5561,1
"179",0,0,0,201204,46,-0.01,21,0,49,1,3298.7675,1
"180",0,0,0,201204,46,-0.01,21,39100,54,1,2957.1831,1
"181",0,0,0,201204,46,-0.01,21,15380,30,2,2898.4918,1
"182",0,0,0,201204,46,-0.01,21,15380,56,1,3323.0855,1
"183",0,0,0,201204,46,7.25,21,40380,17,2,3228.4085,1
"184",0,0,0,201204,46,-0.01,21,35620,52,1,2318.4789,1
"185",0,0,0,201204,46,-0.01,21,35620,40,1,3097.986,1
"186",0,0,0,201204,46,-0.01,21,35620,47,1,3025.6047,1
"187",0,0,0,201204,46,-0.01,21,15380,19,1,3171.4547,1
"188",0,0,0,201204,46,-0.01,21,39100,19,2,3146.4445,1
"189",0,0,0,201204,46,-0.01,21,39100,18,1,3146.63,1
"190",0,0,0,201204,46,-0.01,21,35620,36,1,2986.7865,1
"191",0,0,0,201204,46,-0.01,21,35620,36,1,3852.723,1
"192",0,0,0,201204,46,-0.01,21,35620,64,1,3692.1036,1
"193",0,0,0,201204,46,-0.01,21,35620,22,2,4967.0555,1
"194",0,0,0,201204,46,-0.01,21,35620,20,1,4967.0555,1
"195",0,0,0,201204,46,-0.01,21,35620,50,1,3040.132,1
"196",0,0,0,201204,46,-0.01,21,35620,85,1,3009.4549,1
"197",0,0,0,201204,46,-0.01,21,35620,26,1,3271.1564,2
"198",0,0,0,201204,46,-0.01,21,35620,28,1,3836.1569,2
"199",0,0,0,201204,46,-0.01,21,10580,27,1,3046.1425,2
"200",0,0,0,201204,46,-0.01,21,35620,19,2,3146.4445,1
"201",0,0,0,201204,46,-0.01,21,35620,24,2,4369.7337,1
"202",0,0,0,201204,46,-0.01,21,35620,34,1,3429.124,1
"203",0,0,0,201204,46,-0.01,23,38300,21,1,3788.0535,2
"204",0,0,0,201204,46,-0.01,23,27780,22,1,3761.32,1
"205",0,0,0,201204,46,-0.01,23,37980,32,2,3299.2278,1
"206",0,0,0,201204,46,-0.01,23,37980,15,2,0,1
"207",0,0,0,201204,46,-0.01,23,0,24,2,3971.5458,1
"208",0,0,0,201204,46,-0.01,23,42540,62,2,2776.6754,1
"209",0,0,0,201204,46,14,23,10900,16,2,2511.0706,1
"210",0,0,0,201204,46,-0.01,23,37980,24,-1,3617.1615,3
"211",0,0,0,201204,46,-0.01,23,37980,33,2,3197.3513,1
"212",0,0,0,201204,46,-0.01,23,37980,34,2,4727.7684,1
"213",0,0,0,201204,46,-0.01,58,12060,41,1,4667.1667,1
"214",0,0,0,201204,46,-0.01,22,35620,44,1,2456.6079,1
"215",0,0,0,201204,46,-0.01,22,35620,18,1,3267.9135,2
"216",0,0,0,201204,46,-0.01,21,35620,61,1,2765.7952,1
"217",0,0,0,201204,46,-0.01,21,35620,59,2,3225.4759,1
"218",0,0,0,201204,46,-0.01,21,35620,31,1,3422.4128,1
"219",0,0,0,201204,46,-0.01,58,42340,22,2,4332.9234,1
"220",0,0,0,201204,46,-0.01,58,42340,50,1,2379.288,2
"221",0,0,0,201204,46,-0.01,58,17980,32,1,3001.5526,2
"222",0,0,0,201204,46,-0.01,58,12060,49,1,3780.9098,1
"223",0,0,0,201204,46,-0.01,58,12060,58,2,3959.725,2
"224",0,0,0,201204,46,-0.01,58,12060,36,1,3423.6328,1
"225",0,0,0,201204,46,-0.01,58,12060,35,1,3462.2974,1
"226",0,0,0,201204,46,-0.01,58,12060,60,2,4154.2762,1
"227",0,0,0,201204,46,-0.01,58,12060,31,1,3444.3176,1
"228",0,0,0,201204,46,-0.01,58,12060,25,1,5104.0772,1
"229",0,0,0,201204,46,-0.01,58,46660,27,2,3069.9597,1
"230",0,0,0,201204,46,-0.01,58,12260,25,1,4101.6212,2
"231",0,0,0,201204,46,-0.01,22,12100,25,1,3535.6409,1
"232",0,0,0,201204,46,-0.01,22,12100,23,1,4499.3381,1
"233",0,0,0,201204,46,-0.01,22,12100,24,2,3945.0166,1
"234",0,0,0,201204,46,-0.01,22,35620,55,2,3302.1427,1
"235",0,0,0,201204,46,-0.01,22,37980,17,2,3693.6058,1
"236",0,0,0,201204,46,-0.01,22,37980,58,1,2601.3987,1
"237",0,0,0,201204,46,25,22,35620,55,1,3235.1967,1
"238",0,0,0,201204,46,9,22,37980,20,2,4741.2835,1
"239",0,0,0,201204,46,-0.01,22,35620,50,1,3842.8758,2
